confFrom,confTo,pvalue
cl,aaai,7.5165068833659e-201
aaai,computer speech language,0.00579362962408173
aaai,eccv,0.000743264417742862
aaai,gecco,0.00124105627948211
gecco,aaai,5.67658815218839e-14
icpr,aaai,6.65071191215777e-05
aaai,icra,0.000785740837436105
ijprai,aaai,3.74390225985169e-257
jmlr,aaai,9.01663397401874e-117
naacl,aaai,0.00631261002644542
natural language engineering,aaai,0.00420856491204117
aaai,nc,8.20668610569585e-08
aaai,neural networks,0.00541214019128392
aaai,npl,0.000794079686089783
npl,aaai,0.000303615042755695
aaai,prl,0.00254327256086019
talip,aaai,5.34896858102806e-71
aaai,tap,4.73434292208857e-263
tap,aaai,0.00122305622076283
aaai,taslp,0.000625610705927471
taslp,aaai,0.00353670123844878
tslp,aaai,0.00626845539137658
uai,aaai,0.000356274983047792
aamas,acl,1.83756371837977e-29
aamas,ci,0.00123139005733099
aamas,cl,0
aamas,coling,4.9623266078237e-10
aamas,computer speech language,0.00161571122057558
computer speech language,aamas,8.20962581659637e-06
aamas,cviu,6.4935854542553e-31
cviu,aamas,0.00130967036878146
aamas,cvpr,5.88384858735637e-06
aamas,ecai,0.00339591071164624
aamas,eccv,9.67934614080199e-308
gecco,aamas,0.00303114743015768
icaps,aamas,0.00693021398718733
icdar,aamas,1.47660585765661e-285
aamas,iconip,4.4125972257295e-05
iconip,aamas,3.05079347784949e-197
icpr,aamas,9.17064821815918e-75
aamas,ictai,0.00209459503413216
aamas,ijar,1.3339135630022e-30
aamas,ilp,0.00653684974197249
aamas,jair,0.000381870399809874
jair,aamas,0.00325662289949893
aamas,jmlr,1.14930430902666e-05
jmlr,aamas,2.30517166723933e-05
aamas,kbs,0.000967601876795373
kr,aamas,0.00595514969131557
aamas,naacl,3.03804471920655e-59
nca,aamas,0.00148782079338273
aamas,neural networks,4.12644123182035e-31
aamas,nips,0.000806916571505191
nips,aamas,0.0066777258260552
aamas,prl,4.55612906809824e-05
aamas,tap,0
aamas,tfs,9.6229104314271e-05
aamas,uai,0.0079569635001097
wias,aamas,0.000272890798238753
aim,accv,2.26111846273194e-125
bmvc,accv,0.00748505534168635
accv,cvpr,0.00181872223965862
accv,eccv,0.00919941893260135
accv,emnlp,5.47755894659472e-181
emnlp,accv,7.8381873238664e-08
icann,accv,0.000392054040015534
accv,icb,2.58107095824991e-05
icb,accv,1.2601849324655e-108
accv,iccv,0.0095156582586862
accv,icdar,1.29311287024722e-05
icdar,accv,0.00252375948299482
icml,accv,2.60564933532277e-77
accv,iconip,4.65063946716808e-120
accv,ieee transactions on affective computing,2.06121363236353e-48
accv,ijcai,0.00979109689943983
ijdar,accv,5.0997087076936e-149
accv,ijprai,3.4158740888963e-06
accv,jair,4.87732130790812e-31
accv,jmlr,0.000978736676689813
jmlr,accv,1.63686627973531e-10
accv,naacl,0.0054669206332639
nca,accv,2.16182909481765e-05
npl,accv,1.47629148523358e-300
alt,acl,6.12280348099631e-17
cl,acl,0
acl,coling,3.24594602352341e-06
coling,acl,6.59349151844642e-05
acl,colt,5.95885329405744e-16
colt,acl,2.44186885843002e-29
acl,cviu,5.79449743737005e-05
acl,cvpr,3.62915740321737e-07
cvpr,acl,8.50359535666164e-10
acl,dss,8.28204965340812e-257
dss,acl,2.95617416164365e-08
acl,eccv,1.78541424894802e-11
eccv,acl,0
gecco,acl,5.02421213899353e-05
acl,iccv,8.90306922954809e-12
iccv,acl,0.000672838631066098
icml,acl,0.000594868809531689
iconip,acl,2.32692369174173e-60
acl,icpr,7.54414868492817e-08
icpr,acl,1.29673855415871e-05
acl,ieee transactions on neural networks,6.30542598607699e-46
acl,ijar,3.42047089057646e-05
ijar,acl,1.40407628159915e-05
acl,ijcai,1.184637474707e-11
acl,ijcv,5.67991279820753e-27
ijcv,acl,6.31788093433476e-50
ijdar,acl,0.00378229815169061
ijis,acl,0.000666796502858286
acl,jair,2.29572309487165e-05
jar,acl,3.10671990030444e-25
jmlr,acl,1.18562569318803e-161
acl,machine translation,9.15354732554258e-06
machine translation,acl,4.72018717397407e-22
acl,nc,0
acl,neural networks,4.52745405720048e-138
neural networks,acl,0.000518581966997256
acl,nips,7.88712150074221e-28
nips,acl,1.48172862479644e-05
