venue,emaRank,hindexRank,rankCESpearman
ai,1,4,1
ijcv,10,3,2
neural networks,21,1,3
cvpr,6,13,4
ieee transactions on neural networks,8,12,5
prl,20,7,6
cviu,25,6,7
jair,17,10,8
jmlr,15,9,9
eccv,12,20,10
icpr,11,49,11
emnlp,13,21,12
acl,3,25,13
aamas,26,14,14
aim,31,15,15
paa,58,16,16
nips,2,41,17
uai,18,64,18
aaai,19,40,19
iccv,22,23,20
nc,64,19,21
coling,7,36,22
dss,54,2,23
bmvc,24,42,24
ijcai,4,38,25
