venue,hindex,ema
aaai,28,0.0750115165941172
aamas,43,0.045572290868211
accv,31,0.0133899714899824
acl,35,0.25629445690283
ai,61,0.575805674536768
aim,42,0.0388213963775441
alt,24,0.0136820980759446
bmvc,28,0.050637059059669
ci,31,0.0310787566581505
cl,28,0.00115923427845379
coling,29,0.221238868252444
colt,25,0.0524564058917518
computer speech language,39,0.0426930973003486
cviu,56,0.0480391608926813
cvpr,44,0.22602745428092
dss,69,0.00762809013135399
ecai,17,0.0427870160677402
eccv,37,0.102686574624191
emnlp,36,0.0983785698549972
gecco,29,0.0141826186729847
icann,23,0.0139096573561901
icaps,14,0.0279967700233049
icb,20,0.00700416136815387
iccbr,20,0.0110106100161686
iccv,36,0.0649159780951748
icdar,19,0.0250665658325108
icml,30,0.231781425076532
iconip,22,0.00570828568739619
icpr,26,0.112320551781099
icra,30,0.0930985632313935
ictai,20,0.0118544815142617
ida,27,0.00298632458770395
ieee transactions on affective computing,32,0.0249258219208828
ieee transactions on neural networks,47,0.149069591336083
ijar,47,0.0246001452975259
ijcai,28,0.24474046655687
ijcia,17,0.00114020483852592
ijcnn,22,0.00491440452018054
ijcv,62,0.128687908679714
ijdar,34,0.0239617479478845
ijis,26,0.0392200218710845
ijprai,28,0.0100789584033889
ilp,22,0.0100143091395258
jair,50,0.0848771736280234
jar,32,0.044615495664869
jetai,31,0.0118697284344687
jmlr,50,0.0865742713251404
kbs,59,0.00908247470067594
kr,19,0.129684862048311
ksem,18,0.00122653707946115
machine translation,26,0.0300490936760691
naacl,27,0.0861040807148661
natural language engineering,29,0.0220667018923821
nc,38,0.00211121479064994
nca,53,0.00782820164597271
neural networks,79,0.0649220851251661
nips,28,0.335151200756657
npl,36,0.00698198972951671
paa,42,0.00586986960062631
pricai,19,0.00642447140062723
prl,53,0.066680012769752
talip,27,0.00548711344341794
tap,34,0.00162861959063444
taslp,35,0.0205167400620201
tfs,41,0.0291622697911961
tslp,25,0.00801419273834593
uai,19,0.0837176786147527
wias,21,0.00367826729850507
