venue,paper_id,citationcount
aaai,811594BA,47
aaai,7EE7F649,42
aaai,643A1004,41
aaai,5C2085E3,39
aaai,7D1FB3D8,39
aaai,7F2A2FA4,39
aaai,7DFFB187,38
aaai,7695EF52,34
aaai,7D7A6C09,34
aaai,7F06A244,34
aaai,803484AB,32
aaai,8098A395,32
aaai,7E0700F3,31
aaai,807D98D0,31
aaai,068F6CAD,30
aaai,5E14DD9E,30
aaai,7D6EE016,30
aaai,83102B01,30
aaai,07207A22,29
aaai,60139DE2,29
aaai,7543FF98,29
aaai,7ED659E0,29
aaai,82192862,29
aaai,827F5A74,29
aaai,8004694B,28
aaai,8125EF8E,28
aaai,8235AE97,28
aaai,82A920A4,28
aaai,3453D5E7,27
aaai,6D6A0B4B,27
aaai,7FFC5533,27
aaai,0100C52C,26
aaai,5EAEB628,26
aaai,7E3E72E3,26
aaai,7F96D246,26
aaai,8072EA34,26
aaai,815F689B,26
aaai,835768D9,26
aaai,0CE4378E,25
aaai,5A2CA011,25
aaai,5DBC4BE1,25
aaai,7DB27EC1,25
aaai,7DC962D5,25
aaai,7EE1FB33,25
aaai,7F6297F1,25
aaai,7FE348FC,25
aaai,8260467D,25
aaai,82A7AE92,25
aaai,03C72AA8,24
aaai,14E451A5,24
aaai,5F3613D1,24
aaai,68D13C7F,24
aaai,7EFC4946,24
aaai,7F11AF22,24
aaai,803BB23F,24
aaai,8042C909,24
aaai,8053EE95,24
aaai,814771AA,24
aaai,8207B55E,24
aaai,00A688A0,23
aaai,06BD25A7,23
aaai,070AC7C5,23
aaai,09D693B2,23
aaai,589C4F37,23
aaai,5AEFE3C2,23
aaai,5DB5C0C6,23
aaai,7199DB9A,23
aaai,71ABD4E3,23
aaai,7CF8830D,23
aaai,7D61AB82,23
aaai,7DA6A821,23
aaai,7DF11854,23
aaai,805AABF3,23
aaai,80F961FF,23
aaai,8201D9EF,23
aaai,058A6602,22
aaai,069A9D3B,22
aaai,08FAA836,22
aaai,0BF14BC2,22
aaai,13416F7A,22
aaai,58B9F86C,22
aaai,5A253324,22
aaai,5C01B656,22
aaai,5E6EB62A,22
aaai,5E8F909B,22
aaai,7CF9DA10,22
aaai,7D94E3AC,22
aaai,7EBF9747,22
aaai,7F3F4AAA,22
aaai,7F8A4BA3,22
aaai,82159002,22
aaai,82329B38,22
aaai,8274B81C,22
aaai,05307A76,21
aaai,077DB20D,21
aaai,08B187A9,21
aaai,0B2F6E16,21
aaai,59FA97A1,21
aaai,689868FB,21
aaai,6B4E1314,21
aaai,6EA721CF,21
aaai,7AF67C90,21
aaai,7D015DD0,21
aaai,7D7524FE,21
aaai,7E473EB8,21
aaai,7F61A2DE,21
aaai,8021B0DB,21
aaai,8025EEF6,21
aaai,80613046,21
aaai,8089E899,21
aaai,80EE5A8A,21
aaai,81383EE0,21
aaai,81492752,21
aaai,83E8C6D4,21
aaai,84223EC2,21
aaai,85704A1A,21
aaai,0082A3C9,20
aaai,00D64359,20
aaai,07B8FF9A,20
aaai,080D71D3,20
aaai,0B860977,20
aaai,371AAE61,20
aaai,393902FF,20
aaai,4A3AE248,20
aaai,5972DBC4,20
aaai,5C285B70,20
aaai,5C541F00,20
aaai,5CE6A935,20
aaai,5F62B62A,20
aaai,6134E812,20
aaai,6D81CD43,20
aaai,6EA697B0,20
aaai,7DA885FE,20
aaai,7DF2D240,20
aaai,7E18CA92,20
aaai,7E2FDB02,20
aaai,7EE0102E,20
aaai,800184AE,20
aaai,80530D43,20
aaai,80E40F56,20
aaai,8113BA75,20
aaai,818070FC,20
aaai,824D7D29,20
aaai,8263101A,20
aaai,827FFBDC,20
aaai,832B8036,20
aaai,83C4AFE6,20
aaai,0635C09C,19
aaai,07542C38,19
aaai,07EC379C,19
aaai,0917D62F,19
aaai,0B4EE579,19
aaai,1061F66F,19
aaai,14D7BF93,19
aaai,44249D2D,19
aaai,59666CD4,19
aaai,5B557460,19
aaai,5EBD4E09,19
aaai,5F4B356E,19
aaai,701A6C7E,19
aaai,7750161B,19
aaai,7CF1CB6F,19
aaai,7D9C4919,19
aaai,7DC47F14,19
aaai,7E03E9E0,19
aaai,7E0B591E,19
aaai,7E21CF2E,19
aaai,7E3F9B77,19
aaai,7EA8A718,19
aaai,7EBDC9D3,19
aaai,7F21E3E3,19
aaai,7FFA0F02,19
aaai,801F6F13,19
aaai,8060497C,19
aaai,808D4ADE,19
aaai,80957C81,19
aaai,8109E750,19
aaai,815F62C6,19
aaai,82075A53,19
aaai,823AF89E,19
aaai,827C1D5C,19
aaai,827FC7D1,19
aaai,82913099,19
aaai,82F9D395,19
aaai,83ECEEF1,19
aaai,84A16F9A,19
aaai,01B82A10,18
aaai,03507E20,18
aaai,036DD08E,18
aaai,062DCB8B,18
aaai,06DBBCA3,18
aaai,0AFC5234,18
aaai,23686F25,18
aaai,2ECC22C3,18
aaai,59C5B22E,18
aaai,5B38F31E,18
aaai,5B8CDF0D,18
aaai,5C0597EA,18
aaai,5CE339B6,18
aaai,5DC8DD18,18
aaai,67DF25AF,18
aaai,79566E45,18
aaai,79D350D9,18
aaai,7B4E70E3,18
aaai,7D251E76,18
aaai,7D309265,18
aaai,7D5BC923,18
aaai,7D7D502E,18
aaai,7E4A08F1,18
aaai,7E4D65D9,18
aaai,7E6336DE,18
aaai,7E8CF850,18
aaai,7E9305A1,18
aaai,7EB9D924,18
aaai,7F0B0193,18
aaai,7F3661C1,18
aaai,7F92ED33,18
aaai,7FB03903,18
aaai,7FE6A197,18
aaai,8016701D,18
aaai,80CF99AB,18
aaai,80ED1C10,18
aaai,80FC8E13,18
aaai,80FF5836,18
aaai,814B1334,18
aaai,81FE8258,18
aaai,821ABB5C,18
aaai,827D142E,18
aaai,8287C716,18
aaai,832156C0,18
aaai,834BFC5B,18
aaai,8357128F,18
aaai,8368EBE8,18
aaai,836DB955,18
aaai,8401E63A,18
aaai,8439FC28,18
aaai,843E1353,18
aaai,001BDFE4,17
aaai,009763ED,17
aaai,01F2D751,17
aaai,024B0AC1,17
aaai,048B75B8,17
aaai,06DFBE2D,17
aaai,092E2775,17
aaai,1A1B0AA8,17
aaai,460232F6,17
aaai,5852C95E,17
aaai,5A1B3EF0,17
aaai,5AE25708,17
aaai,5B268EA2,17
aaai,5C0236E6,17
aaai,5CBDB665,17
aaai,5D063987,17
aaai,5D578C66,17
aaai,686F33CE,17
aaai,72FEEEF4,17
aaai,758FC988,17
aaai,7A9AF140,17
aaai,7B34DD32,17
aaai,7D318B65,17
aaai,7D529DA8,17
aaai,7D91CBAD,17
aaai,7D94104D,17
aaai,7DD9F61C,17
aaai,7DDC9DD6,17
aaai,7E4F1DE9,17
aaai,7ED9DBC1,17
aaai,7F1812E3,17
aaai,7F876047,17
aaai,7F8773EC,17
aaai,7F9ADAF3,17
aaai,7FB5FD59,17
aaai,7FB8CD88,17
aaai,7FC0EB43,17
aaai,80145CC5,17
aaai,802A8C60,17
